Date,EURUSD
2023-10-02,1.085
2023-10-03,1.08429
2023-10-04,1.08765
2023-10-05,1.09544
2023-10-06,1.09422
2023-10-09,1.09302
2023-10-10,1.10104
2023-10-11,1.10516
2023-10-12,1.1027
2023-10-13,1.10553
2023-10-16,1.1032
2023-10-17,1.10091
2023-10-18,1.10211
2023-10-19,1.09305
2023-10-20,1.08428
2023-10-23,1.08128
2023-10-24,1.07598
2023-10-25,1.07765
2023-10-26,1.07304
2023-10-27,1.06591
2023-10-30,1.07359
2023-10-31,1.07239
2023-11-01,1.07276
2023-11-02,1.06552
2023-11-03,1.0627
2023-11-06,1.06328
2023-11-07,1.05759
2023-11-08,1.0595
2023-11-09,1.05657
2023-11-10,1.05519
2023-11-13,1.05239
2023-11-14,1.061
2023-11-15,1.06096
2023-11-16,1.05583
2023-11-17,1.05988
2023-11-20,1.05396
2023-11-21,1.05502
2023-11-22,1.04564
2023-11-23,1.0388
2023-11-24,1.03985
2023-11-27,1.04366
2023-11-28,1.04455
2023-11-29,1.044
2023-11-30,1.04258
2023-12-01,1.03571
2023-12-04,1.03225
2023-12-05,1.03008
2023-12-06,1.03504
2023-12-07,1.03668
2023-12-08,1.02859
2023-12-11,1.03019
2023-12-12,1.02838
2023-12-13,1.02525
2023-12-14,1.02808
2023-12-15,1.03279
2023-12-18,1.03711
2023-12-19,1.03325
2023-12-20,1.03185
2023-12-21,1.03336
2023-12-22,1.03769
2023-12-25,1.03558
2023-12-26,1.03479
2023-12-27,1.03008
2023-12-28,1.02494
2023-12-29,1.02854
2024-01-01,1.03455
2024-01-02,1.03424
2024-01-03,1.03875
2024-01-04,1.0404
2024-01-05,1.03756
2024-01-08,1.03917
2024-01-09,1.04584
2024-01-10,1.0457
2024-01-11,1.0527
2024-01-12,1.04047
2024-01-15,1.04496
2024-01-16,1.04545
2024-01-17,1.04391
2024-01-18,1.04439
2024-01-19,1.03466
2024-01-22,1.03352
2024-01-23,1.03538
2024-01-24,1.04284
2024-01-25,1.04015
2024-01-26,1.03605
2024-01-29,1.03354
2024-01-30,1.03808
2024-01-31,1.03972
2024-02-01,1.03719
2024-02-02,1.03964
2024-02-05,1.04011
2024-02-06,1.04454
2024-02-07,1.04135
2024-02-08,1.03989
2024-02-09,1.03817
2024-02-12,1.03186
2024-02-13,1.03321
2024-02-14,1.03438
2024-02-15,1.03443
2024-02-16,1.03345
2024-02-19,1.02761
2024-02-20,1.02583
2024-02-21,1.0244
2024-02-22,1.02111
2024-02-23,1.02046
2024-02-26,1.02212
2024-02-27,1.02972
2024-02-28,1.03051
2024-02-29,1.03164
2024-03-01,1.03134
2024-03-04,1.02346
2024-03-05,1.02336
2024-03-06,1.02365
